216,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
639,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
647,011HO12327,MORRIS,011HO15813,INTEREST,011HO15801,CITRINE
666,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
671,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
675,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
678,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
687,011HO12327,MORRIS,011HO15813,INTEREST,011HO15801,CITRINE
701,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
706,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
716,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
721,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
722,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
726,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
743,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
744,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
747,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
751,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
755,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
763,011HO15813,INTEREST,011HO15789,GAINES,011HO15801,CITRINE
776,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
779,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
787,011HO15813,INTEREST,011HO15789,GAINES,011HO15801,CITRINE
796,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
799,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
803,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
807,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
809,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
810,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
817,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
821,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
824,011HO12327,MORRIS,011HO15813,INTEREST,011HO15801,CITRINE
825,011HO15813,INTEREST,011HO15789,GAINES,011HO15801,CITRINE
830,011HO15813,INTEREST,011HO15789,GAINES,011HO12155,ALTUVE
841,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
842,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
845,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
847,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
851,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
852,011HO15789,GAINES,011HO15813,INTEREST,011HO12155,ALTUVE
864,011HO12155,ALTUVE,011HO15801,CITRINE,011HO15813,INTEREST
866,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
867,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
869,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
872,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
873,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
881,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
882,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
883,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
887,011HO15813,INTEREST,011HO15789,GAINES,011HO15801,CITRINE
902,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
905,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
910,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
923,011HO15813,INTEREST,011HO15789,GAINES,011HO15801,CITRINE
925,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
930,011HO12327,MORRIS,011HO15789,GAINES,011HO15813,INTEREST
933,011HO15801,CITRINE,011HO12155,ALTUVE,011HO15789,GAINES
